Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.BetaFeatures.UnifiedLightingTitle,,,Unified Lighting,Unified Lighting,,Einheitliche Beleuchtung,,,Pencahayaan Terpadu,Illuminazione unificata,,통합 조명,Ujednolicone oświetlenie,Iluminação unificada,,การจัดแสงแบบรวมเป็นหนึ่งเดียว,Birleştirilmiş Aydınlatma,Ánh Sáng Hợp Nhất,,,統一照明
Studio.BetaFeatures.AutomaticSizeTitle,,,Automatic Size Beta,Automatic Size Beta,,Automatische Größe Beta,,,Ukuran Otomatis Beta,Dimensione automatica beta,自動サイズ調整ベータ版,자동 크기 조정 베타,Automatyczne dostosowanie rozmiaru w wersji beta,Tamanho automático beta,,ปรับขนาดอัตโนมัติเบต้า,Otomatik Boyutlandırma Beta,Kích Thước Tự Động Beta,,,自動大小調整 Beta 測試
Studio.BetaFeatures.PathfindingModifiersDescription,,,"Attached to Parts (if non-collidable, such Parts are used as volumes), their property Label can be used in the Cost table argument of CreatePath to make traversal cost non-unity.","Attached to Parts (if non-collidable, such Parts are used as volumes), their property Label can be used in the Cost table argument of CreatePath to make traversal cost non-unity.",,"An Teile angehängt (wenn nicht kollidierbar, werden solche Teile als Volumen verwendet), kann ihre Eigenschaft Label im Argument Kostentabelle von CreatePath verwendet werden, um die Überschreitung der Kosten ungleich zu machen.",,,"Saat tersambung ke Komponen (jika tidak dapat berbenturan, Komponen tersebut digunakan sebagai volume), Label propertinya dapat digunakan di argumen tabel Biaya CreatePath untuk membuat biaya traversal menjadi non-unity.","Collegati alle parti (se non collidenti, tali parti sono usate come volumi), la loro proprietà dell'etichetta può essere usata nell'argomento della tabella dei costi di CreatePath per rendere il costo del percorso non unitario.",パーツに装着した場合 (もし、衝突不能の場合、そのようなパーツは体積として使用)、その属性 Label は CreatePath の Cost テーブル引数でトラバーサルコストを非単一にするために使えます。,"파트에 연결된 경우(충돌할 수 없는 경우 이러한 파트는 볼륨으로 사용됨), 속성 레이블을 CreatePath의 Cost 테이블 인수에서 사용하여 통과 코스트를 비통합으로 설정할 수 있습니다.","Dołączanie do części (w przypadku braku kolizji takie części są używane jako wolumetryczne), etykieta właściwości może zostać użyta w argumencie tabeli kosztów CreatePath w celu ustalenia kosztu przenoszenia jako non-unity.","Anexado às partes (se não colidível, como partes que são usadas em volumes), sua propriedade Label pode ser usada no argumento de tabela Cost de CreatePath para fazer não-unidades de custo transversal.",,ที่แนบกับส่วนประกอบ (หากรายการที่ไม่สามารถชนกันได้ เช่น ส่วนประกอบถูกใช้เป็นปริมาตร) จะสามารถใช้ Label คุณสมบัติของส่วนประกอบเหล่านั้นในอาร์กิวเมนต์ตารางค่า CreatePath เพื่อทำให้ค่าการเดินทางไม่เป็นเอกภาพได้,"Parçalara eklenir (çarpışmayan parçalar için böyle parçalar hacim olarak kullanılır), etiket özellikleri CreatePath'in tutar tablosu bağımsız değişkeninde geçiş tutarını birlik dışı yapmak için kullanılabilir.","Được gắn vào Bộ Phận (nếu không thể va chạm, các Bộ Phận đó được sử dụng như khối lượng), bạn có thể sử dụng thuộc tính Nhãn của chúng trong đối số bảng Chi Phí của CreatePath để làm cho chi phí di chuyển khác một.",,,附加至組件上（若無法法碰撞，該類組件會作為體積使用），其 Label 屬性可以用在 CreatePath 的 Cost 表格引數中，讓穿越成本非整合。
Studio.BetaFeatures.SelectionImprovementsTitle,,,Selection Improvements,Selection Improvements,,Auswahlverbesserungen,,,Penyempurnaan Pilihan,Miglioramenti selezione,選択機能の改善,선택 영역 개선,Usprawnienia zaznaczania,Melhorias de seleção,,การปรับปรุงส่วนที่เลือก,Seçim İyileştirmeleri,Cải Thiện Lựa Chọn,,,選取項目改良
Studio.BetaFeatures.ParticlFlipbooksDescription,,,"Enables the new particle flipbook feature, allowing the use of animated textures on particles (needing a 1024x1024 grid-layout texture of individiual frames).","Enables the new particle flipbook feature, allowing the use of animated textures on particles (needing a 1024x1024 grid-layout texture of individiual frames).",,"Aktiviert die neue Funktion Partikel-Flipbook, die die Verwendung von animierten Texturen für Partikel ermöglicht (dazu wird eine 1024x1024 Rastertextur für die Einzelbilder benötigt).",,,"Mengaktifkan fitur flipbook partikel baru, yang memungkinkan penggunaan tekstur animasi pada partikel (membutuhkan tekstur tata letak kisi 1024x1024 dari setiap frame).","Abilita la nuova funzionalità del flipbook particellare, che consente l'uso di texture animate sulle particelle (è necessaria una texture con layout a griglia 1024x1024 di singoli frame).",新しいパーティクルのパラパラマンガ機能を有効にして、パーティクルにアニメーションテクスチャを使用できます（個々のフレームの1024×1024 グリッドレイアウトテクスチャが必要）。,파티클에 애니메이션 텍스쳐를 사용할 수 있는 새로운 파티클 플립북 기능을 활성화합니다(개별 프레임의 1024x1024 그리드 레이아웃 텍스처 필요).,"Udostępnia nową funkcję flipbooków cząstkowych, która umożliwia korzystanie z animowanych tekstur w przypadku cząstek (dla poszczególnych klatek wymagana jest tekstura 1024x1024 w układzie siatki).","Habilita o novo ativo de partículas flipbook, permitindo o uso de texturas animadas em partículas (precisa de uma textura de layout-grid de 1024x1024 em quadros individuais).",,เปิดใช้งานคุณสมบัติหนังสือกรีดอนุภาคใหม่ ช่วยให้สามารถใช้งานพื้นผิวเคลื่อนไหวบนอนุภาคได้ (ต้องการพื้นผิวเค้าโครงกริด 1024x1024 ของเฟรมเดี่ยว),Parçacıklarda animasyonlu doku kullanımına olanak sağlayan yeni parçacık döngüsü özelliğini etkinleştirir (her karenin 1024x1024 kılavuz düzeninde dokusu gerekir).,"Bật tính năng sổ lật hạt mới, cho phép sử dụng các vân đồ họa hiệu ứng động trên các hạt (yêu cầu vân đồ họa dạng lưới 1024x1024 chứa các khung hình riêng lẻ).",,,啟用新的粒子翻書功能，允許在粒子上使用動畫紋理（需要 1024x2014 網格配置的單一影格）。
Studio.BetaFeatures.ChromeDescription,,,Enables a new modernized Roblox Menu and related APIs for more seamless UI placement of key system controls.,Enables a new modernized Roblox Menu and related APIs for more seamless UI placement of key system controls.,,Ermöglicht ein neues modernisiertes Roblox-Menü und zugehörige APIs für eine nahtlosere Platzierung der wichtigsten Systemsteuerungen auf der Benutzeroberfläche.,,,Mengaktifkan Menu Roblox baru yang telah dimodernisasi dan API terkait untuk mendapatkan penempatan antarmuka kontrol sistem penting.,Abilita un nuovo menu Roblox modernizzato e le relative API per un posizionamento più fluido dell'interfaccia utente dei comandi del sistema chiave.,新しいモダンなRobloxメニューと関連するAPIを有効にして主要なシステム操作のUIをさらにスムーズに配置します。,새롭고 모던한 Roblox 메뉴 및 관련 API를 활성화해 주요 시스템 컨트롤의 UI 배치가 더 자연스러워집니다.,"Udostępnia nowe, zmodernizowane menu aplikacji Roblox oraz powiązanych interfejsów API, zapewniając wygodniejsze rozmieszczenie elementów interfejsu użytkownika do sterowania najważniejszymi funkcjami systemu.",Habilita um novo menu Roblox modernizado e APIs relacionadas para colocação mais simples de interface de usuário de controles de teclas do sistema.,,เปิดใช้งานเมนู Roblox และ API ที่เกี่ยวข้องที่ได้รับการปรับให้ทันสมัยเพื่อการวางตำแหน่ง UI ที่ราบรื่นยิ่งขึ้นของการควบคุมระบบหลัก,Önemli sistem kontrollerinin arayüze daha sorunsuz bir şekilde yerleştirilmesi için yeni ve modern bir Roblox menüsünü ve ilgili API'ları etkinleştirir.,Cho phép sử dụng Menu Roblox đổi mới và các API liên quan để bố trí các điều khiển hệ thống chính liền mạch hơn trong UI.,,,啟用新的現代化 Roblox 選單與相關 API，運用更流暢的 UI 放置進行主要系統控制。
Studio.BetaFeatures.NewDockingTitle,,,Updated Docking System,Updated Docking System,,Aktualisiertes Docking-System,,,Sistem Docking yang Di-update,Sistema di aggancio aggiornato,ドッキングシステムの更新,도킹 시스템 업데이트,Zaktualizowany system dokowania,Sistema de acoplamento atualizado,,อัปเดตระบบการยึดโยงแล้ว,Yenilenmiş Yerleştirme Sistemi,Hệ Thống Neo Đã Cập Nhật,,,更新的對接系統
Studio.BetaFeatures.SelectionImprovementsDescription,,,"Enables a new selection outline style, the ability to select objects that are behind other objects, a new option for showing bounding boxes, and a context menu item for selecting parents of objects.","Enables a new selection outline style, the ability to select objects that are behind other objects, a new option for showing bounding boxes, and a context menu item for selecting parents of objects.",,"Ermöglicht einen neuen Auswahlumrissstil, die Möglichkeit, Objekte auszuwählen, die sich hinter anderen Objekten befinden, eine neue Option zum Anzeigen von Begrenzungsrahmen und einen Kontextmenüeintrag zum Auswählen von übergeordneten Elementen von Objekten.",,,"Mengaktifkan gaya garis luar pemilihan baru, kemampuan memilih objek di belakang objek lain, opsi baru untuk menampilkan bounding box, dan item menu konteks untuk memilih induk objek.","Abilita un nuovo stile di contorno della selezione, la possibilità di selezionare oggetti che si trovano dietro altri oggetti, una nuova opzione per mostrare i riquadri di delimitazione e una voce di menu contestuale per selezionare i genitori degli oggetti.",輪郭スタイルの新しい選択肢、他のオブジェクトの背後にあるオブジェクトを選択すること、境界ボックスを表示する新しいオプション、コンテキストメニューでオブジェクトの親の選択を有効化。,"새 선택 윤곽선 스타일, 다른 개체 뒤에 있는 개체를 선택하는 기능, 경계 상자 표시를 위한 새로운 옵션, 개체의 부모를 선택하기 위한 콘텍스트 메뉴 항목을 활성화합니다.","Udostępnia nowy styl obramowania zaznaczenia, możliwość zaznaczania obiektów znajdujących się za innymi obiektami, nową opcję wyświetlania brył brzegowych oraz pozycję menu kontekstowego do zaznaczania obiektów nadrzędnych wskazanych obiektów.","Permite um novo estilo de contorno de seleção, a habilidade de selecionar objetos que estão atrás de outros objetos, uma nova opção para mostrar caixas delimitadoras, e um item de menu de contexto para selecionar pais de objetos.",,เปิดใช้งานสไตล์โครงร่างส่วนที่เลือกใหม่ ความสามารถในการเลือกวัตถุที่อยู่หลังวัตถุอื่น ตัวเลือกใหม่สำหรับการแสดงกล่องขอบเขต และรายการเมนูสำหรับการเลือกพ่อแม่ของวัตถุ,Yeni bir ana hat seçimi stili etkinleştirip başka nesnelerin arkasında nesneleri seçebilme imkânı sunarak bağlayıcı kutuların gösterilmesi için yeni bir seçenek ve nesnelerin üst öğelerinin seçilebilmesi için bağlam menüsü öğesi ekler.,"Bật kiểu viền lựa chọn mới, khả năng chọn các đối tượng nằm sau các đối tượng khác, tùy chọn mới để hiển thị khung viền và mục menu ngữ cảnh để chọn đối tượng cha của các đối tượng.",,,啟用新的選取項目外框樣式、選擇位於其他物件後面之物件的能力、顯示界限方塊的新選項，以及選取物件父項目的內容選單項目。
Studio.BetaFeatures.CreateAnimationFromVideoTitle,,,Live Animation Creator,Live Animation Creator,,Live-Animations-Ersteller,,,Kreator Animasi Langsung,Creatore animazione live,ライブアニメーション作成,라이브 애니메이션 제작기,Kreator animacji na żywo,Criador de animações vivas,,เครื่องมือสร้างแอนิเมชันสด,Canlı Animasyon Yaratıcısı,Trình Tạo Hiệu Ứng Động Trực Tiếp,,,即時動畫生成器
Studio.BetaFeatures.MinPartSizeDescription,,,"Reduces the minimum limit on part sizes from 0.05 to 0.001. Parts can be visually smaller, but will still limit to 0.05 for collision geometry for now.","Reduces the minimum limit on part sizes from 0.05 to 0.001. Parts can be visually smaller, but will still limit to 0.05 for collision geometry for now.",,"Verringert die Mindestgrenze für die Teilegröße von 0,05 auf 0,001. Teile können visuell kleiner sein, aber für die Kollisionsgeometrie wird die Grenze vorerst noch bei 0,05 bleiben.",,,"Mengurangi batas minimum ukuran komponen dari 0,05 menjadi 0,001. Komponen mungkin terlihat lebih kecil, tetapi batas geometri benturannya untuk saat ini masih 0,05.","Riduce il limite minimo delle dimensioni delle parti da 0,05 a 0,001. È possibile che le parti siano visivamente più piccole, ma per il momento il limite è ancora di 0,05 per la geometria delle collisioni.",パーツのサイズの下限を 0.05 から 0.001 に減少。パーツは視覚的には小さいかもしれませんが、それでも現在のところ衝突ジオメトリのために制限を 0.05 とします。,"파트 크기에 대한 최소한도를 0.05에서 0.001로 줄입니다. 파트가 시각적으로 더 작게 보일 수 있지만, 현재 충돌 지오메트리의 경우 여전히 0.05까지 제한합니다.","Obniża limit dolny wymiarów części z 0,05 do 0,001. Części mogą być wizualnie mniejsze, ale limit w przypadku geometrii kolizji to obecnie 0,05.","Reduz o limite mínimo do tamanho de parted de 0.05 para 0.001. As partes podem ser visualmente menor, mas ainda terão um limite de geometria de colisão de 0.05, por enquanto.",,ลดขีดจำกัดขั้นต่ำของขนาดส่วนประกอบจาก 0.05 เป็น 0.001 ส่วนประกอบอาจดูเล็กลง แต่จะยังคงจำกัดอยู่ที่ 0.05 สำหรับรูปทรงของการชนกันในขณะนี้,"Minimum parça boyutu sınırını 0,05'ten 0,001'e düşürür. Parçalar gözle görülür şekilde küçülebilir ama şimdilik çarpışma geometrisi için hâlâ 0,05 ile sınırlanır.","Giảm giới hạn kích thước tối thiểu của bộ phận từ 0,05 xuống 0,001. Các bộ phận có thể trông nhỏ hơn nhưng vẫn giới hạn ở mức 0,05 đối với hình học va chạm hiện tại.",,,將組件大小下限從 0.05 降到 0.001。組件在視覺上會看起來更小，但在碰撞幾何方面暫時仍會被限制為 0.05。
Studio.BetaFeatures.CreateAnimationFromVideoDescription,,,"Animation clip editor will have a ""Live Animation Creator"" option in the Import menu to transfer 3D pose from a video to an avatar.","Animation clip editor will have a ""Live Animation Creator"" option in the Import menu to transfer 3D pose from a video to an avatar.",,"Im Animation-Clip-Editor gibt es jetzt die Option ""Live-Animations-Ersteller"" im Importmenü, um eine 3D-Pose aus einem Video auf einen Avatar zu übertragen.",,,"Editor klip animasi akan memiliki opsi ""Kreator Animasi Langsung"" di menu Impor untuk mentransfer pose 3D dari video ke avatar.","L'editor di clip di animazione avrà l'opzione ""Creatore animazione live"" nel menu Importa per trasferire la posa 3D da un video a un avatar.",アニメーションクリップ編集には、インポートメニューでビデオからアバターに3Dポーズを転送する「ライブアニメーション作成」のオプションがあります。,애니메이션 클립 편집기의 가져오기 메뉴에 '라이브 애니메이션 제작기' 옵션이 추가되어 3D 포즈를 비디오에서 아바타로 전송할 수 있습니다.,"W menu importowania w edytorze klipów animowanych dostępna będzie opcja „Kreator animacji na żywo”, umożliwiająca przeniesienie pozy 3D z filmu na awatara.","O editor de clipe de animação terá a opção ""Criador de animação ao vivo"" no menu Importar para transferir a pose 3D de um vídeo para um avatar.",,"เครื่องมือแก้ไขคลิปแอนิเมชันจะมีตัวเลือก ""เครื่องมือสร้างแอนิเมชันสด"" ในเมนูการนำเข้าเพื่อถ่ายโอนท่าโพส 3D จากวิดีโอไปสู่อวาตาร์","Animasyon klibi düzenleyicinin içe aktarım menüsüne videolardaki 3B pozları avatara dönüştürmek için kullanılabilecek ""Canlı Animasyon Yaratıcısı"" seçeneği eklenir.","Trình biên tập clip hiệu ứng động sẽ có tùy chọn ""Trình Tạo Hiệu Ứng Động Trực Tiếp"" trong menu Nhập để chuyển tư thế 3D từ video sang avatar.",,,匯入選單的動畫片段編輯器將含有「即時動畫生成器」的選項，讓您將影片的 3D 姿勢轉入虛擬人偶。
Studio.BetaFeatures.VREmulatorTitle,,,VR Emulator,VR Emulator,,VR-Emulator,,,Emulator VR,Emulatore VR,VR仮想化機能,VR 에뮬레이터,Emulator VR,Emulador de RV,,อีมูเลเตอร์ VR,VR Öykünücüsü,Trình Giả Lập VR,,,VR 模擬器
Studio.BetaFeatures.DragDetectorsTitle,,,DragDetectors,DragDetectors,,DragDetectors,,,DragDetectors,DragDetectors,DragDetectors,DragDetectors,Instancje DragDetector,DragDetectors,,DragDetectors,Sürükleme Tespit Edici,DragDetector,,,DragDetector
Studio.BetaFeatures.TextureGeneratorTermsAndConditions,,,"Please view the Terms and Conditions at the link below:

https://en.help.roblox.com/hc/articles/20121392440212","Please view the Terms and Conditions at the link below:

https://en.help.roblox.com/hc/articles/20121392440212",,"Bitte sieh dir die Nutzungsbedingungen unter folgendem Link an:

https://en.help.roblox.com/hc/de/articles/115004647846",,,"Harap baca Syarat dan Ketentuan di tautan di bawah ini:

https://en.help.roblox.com/hc/articles/20121392440212","Visualizza i Termini e condizioni al link qui sotto:

https://en.help.roblox.com/hc/articles/20121392440212","以下のリンクから規約と条件をごらんください。

https://en.help.roblox.com/hc/ja/articles/20121392440212","아래 링크에서 약관 및 조건을 확인하세요.

https://en.help.roblox.com/hc/articles/20121392440212","Wyświetl Warunki, korzystając z poniższego linku:

https://en.help.roblox.com/hc/articles/20121392440212","Por favor, veja os Termos e Condições no link abaixo:

https://en.help.roblox.com/hc/articles/20121392440212",,"โปรดดูข้อกำหนดและเงื่อนไขที่ลิงก์ด้านล่าง:

https://en.help.roblox.com/hc/articles/20121392440212","Lütfen aşağıdaki bağlantıdan Hüküm ve Koşulları görüntüle:

https://en.help.roblox.com/hc/articles/20121392440212","Vui lòng xem các Điều Khoản và Điều Kiện tại liên kết bên dưới:

https://en.help.roblox.com/hc/articles/20121392440212",,,"請從下列連結檢視條款與條件：

https://en.help.roblox.com/hc/articles/20121392440212"
Studio.BetaFeatures.UIDragDetectorTitle,,,UIDragDetectors,UIDragDetectors,,UIDragDetectors,,,UIDragDetectors,UIDragDetectors,UIDragDetectors,UIDragDetectors,Instancje UIDragDetector,UIDragDetectors,,UIDragDetectors,UIDragDetector,UIDragDetector,,,UIDragDetector
Studio.BetaFeatures.GamepadEmulatorDescription,,,Enabling this feature allows you to simulate gamepad inputs directly in Roblox Studio without the need for physical controllers.,Enabling this feature allows you to simulate gamepad inputs directly in Roblox Studio without the need for physical controllers.,,"Durch die Aktivierung dieser Funktion können Gamepad-Eingänge direkt in Roblox Studio simuliert werden, ohne dass physikalische Controller benötigt werden.",,,"Dengan mengaktifkan fitur ini, kamu bisa melakukan simulasi input gamepad secara langsung di Roblox Studio tanpa memerlukan kontroler fisik.","Abilitando questa funzione, potrai simulare gli input del gamepad direttamente in Roblox Studio senza bisogno di usare dei controller reali.",,이 기능을 활성화하면 실제 컨트롤러 없이도 Roblox Studio에서 직접 게임 패드 입력을 시뮬레이션할 수 있습니다.,Włączenie tej funkcji umożliwia bezpośrednie symulowanie sygnałów wejściowych kontrolera w aplikacji Roblox Studio bez konieczności korzystania z kontrolerów fizycznych.,Ativar este recurso permite simular entradas de controle diretamente no Roblox Studio sem a necessidade de controladores físicos.,,การเปิดใช้งานคุณสมบัตินี้จะช่วยให้คุณสามารถจำลองอินพุตเกมแพดได้โดยตรงใน Roblox Studio โดยไม่จำเป็นต้องมีอุปกรณ์จอยเกมจริง,"Bu özelliği etkinleştirmek, oyun kumandan olmasa bile oyun kolu girişlerini Roblox Studio'da doğrudan taklit edebilmene olanak tanır.",Bật tính năng này cho phép bạn mô phỏng thao tác điều khiển tay cầm trực tiếp trong Roblox Studio mà không cần bộ điều khiển vật lý.,,,啟用此功能可讓您直接在 Roblox Studio 中模擬手把輸入，無需實體控制器。
Studio.BetaFeatures.PackagePermissionsTitle,,,Packages Permissions,Packages Permissions,,Paketberechtigungen,,,Izin Paket,Autorizzazioni dei pacchetti,パッケージ権限,패키지 권한,Uprawnienia dotyczące pakietów,Permissões de pacotes,,สิทธิ์แพ็คเกจ,Paket İzinleri,Quyền đối với Gói,,,套件權限
Studio.BetaFeatures.DragDetectorsDescription,,,New Instance type DragDetector that enables click-drag-release interactions. Enabling this beta feature allows using DragDetectors only within Roblox Studio.,New Instance type DragDetector that enables click-drag-release interactions. Enabling this beta feature allows using DragDetectors only within Roblox Studio.,,"Neuer Instanztyp DragDetector, der Click-Drag-Release-Interaktionen ermöglicht. Wenn du diese Beta-Funktion aktivierst, kannst du DragDetectors nur innerhalb von Roblox Studio verwenden.",,,"Instans baru tipe DragDetector yang memungkinkan interaksi klik-seret-lepas. Jika fitur beta ini diaktifkan, DragDetector bisa digunakan hanya di Roblox Studio.",Nuovo tipo di istanza DragDetector che attiva le interazioni clic-trascinamento. L'abilitazione di questa funzione beta consente di utilizzare DragDetectors solo all'interno di Roblox Studio.,新しいインスタンスタイプ、DragDetector はクリック・ドラッグ・リリースをオンにします。このベータ機能をオンにすると、Roblox Studio内 でのみ DragDetectors が使用できるようになります。,클릭-드래그-릴리스 상호 작용을 활성화하는 새로운 인스턴스 유형 DragDetector입니다. 이 베타 기능을 활성화하면 Roblox Studio 내에서만 DragDetector를 사용할 수 있습니다.,"Nowy typ instancji DragDetector, który umożliwia interakcje typu kliknij-przeciągnij-zwolnij. Włączenie tej funkcji w wersji beta umożliwia korzystanie z instancji DragDetector wyłącznie w aplikacji Roblox Studio.",Nova instância tipo DragDetector que habilita interações do tipo clicar-arrastar-soltar. Habilitar este recurso beta permite usar DragDetectores somente dentro do Roblox Studio.,,DragDetector ประเภทอินสแตนซ์ใหม่ที่จะเปิดใช้งานการปฏิสัมพันธ์การคลิก-ลาก-แล้วปล่อย เปิดใช้งานคุณสมบัติเบต้านี้เพื่ออนุญาตการใช้ DragDetectors ภายใน Roblox Studio เท่านั้น,Tıkla-sürükle-bırak şeklinde etkileşimlere olanak sağlayan yeni DragDetector örnek türü. Bu beta özelliğin etkinleştirilmesi yalnızca Roblox Studio'da DragDetector kullanımına izin verir.,Kiểu Phiên Bản mới của DragDetector cho phép tương tác nhấp-kéo-thả. Việc bật tính năng beta này sẽ phép sử dụng DragDetectors chỉ trong Roblox Studio.,,,新個體類型 DragDetector 可讓您進行點選拖放互動。啟用此 Beta 測試功能可讓您只在 Roblox Studio 內使用 DragDetector。
Studio.BetaFeatures.NewExperiencesEnableTeamCreate,,,New experiences enable Team Create,New experiences enable Team Create,,Neue Erlebnisse aktivieren Team Create,,,Pengalaman virtual baru memungkinkan Kreasi Bersama,Nuove esperienze abilitano Creazione di squadra,新しいバーチャル空間ができるとチーム制作機能がオンになります,새로운 체험에서 팀 제작 활성화,W nowych projektach dostępne jest tworzenie zespołowe,Novas experiências ativam a Criação em equipe,,ประสบการณ์ใหม่เปิดใช้งานการสร้างร่วมกับเพื่อน,Yeni deneyimler Takım Çalışması'nı etkinleştirir,Trải nghiệm mới đã bật tính năng Tạo Đội,,,新體驗將啟用團隊創作
Studio.BetaFeatures.AttributesUIDescription,,,Customize instances with your own data,Customize instances with your own data,,Passe Instanzen mit eigenen Daten an,,,Membuat kustomisasi pada instans menggunakan datamu sendiri,Personalizza le istanze con i tuoi dati,自分のデータでインスタンスをカスタマイズ,나의 자체 데이터로 인스턴스를 사용자 정의합니다.,Dostosuj instancje przy użyciu własnych danych,Personalizar instâncias com dados próprios,,กำหนดอินสแตนซ์ด้วยข้อมูลของคุณเอง,Örnekleri kendi verilerinle özelleştir,Tùy chỉnh phiên bản với dữ liệu của riêng bạn,,,以自有資料自訂個體
Studio.BetaFeatures.LuaConstraintToolTitle,,,Improved Constraint Tool,Improved Constraint Tool,,Verbessertes Beschränkungstool,,,Alat Constraint yang Disempurnakan,Strumento di vincolo migliorato,改良済み拘束ツール,제약 도구 개선,Usprawnione narzędzie do obsługi ograniczeń,Ferramenta de restrição melhorada,,เครื่องมือ Constraint ที่ปรับปรุงแล้ว,Gelişmiş Kısıtlama Aracı,Công Cụ Ràng Buộc Được Cải Tiến,,,改善的限制式工具
Studio.BetaFeatures.FasterPlaySoloTitle,,,Faster Play Solo,Faster Play Solo,,Schnelleres Einzelspiel,,,Main Solo Lebih Cepat,Gioca più velocemente in solitaria,,더 빠른 싱글 플레이,Szybsze granie solo,Jogo solo mais rápido,,เล่นเดี่ยวเร็วขึ้น,Hızlı Tek Oyunculu Mod,Chơi Đơn Nhanh Hơn,,,更快的單人遊玩
Studio.BetaFeatures.NewScriptFoldStateTitle,,,Script Editor Folds Behavior Beta,Script Editor Folds Behavior Beta,,Skript-Editor-Faltungsverhalten Beta,,,Perilaku Fold Editor Skrip Beta,Funzionamento ripiegamenti nell'editor di script beta,スクリプト編集が動作ベータ版を折り畳み,스크립트 편집기 폴딩 동작 베타,Zawijanie kodu w edytorze skryptów – wersja beta,Comportamento de dobragem do Editor de script beta,,พฤติกรรมการพับของเครื่องมือแก้ไขสคริปต์เบต้า,Betik Düzenleyici Katlama Özellikleri Beta,Hành Vi Gấp Trình Biên Tập Lệnh Beta,,,指令碼編輯器摺疊行為 Beta 測試
Studio.BetaFeatures.PathfindingModifiersTitle,,,Pathfinding Modifiers,Pathfinding Modifiers,,Pfadfindungsmodifikatoren,,,Pemodifikasi Pathfinding,Modificatori di pathfinding,経路探索修飾子,경로 찾기 수정자,Modyfikatory wyszukiwania ścieżki,Modificadores de buscador de caminhos,,เครื่องมือแก้ไขการค้นหาเส้นทาง,Yol Bulma Değiştiricileri,Bộ Điều Chỉnh Tìm Đường,,,路徑搜尋修改器
Studio.BetaFeatures.LuaConstraintToolDescription,,,Quality of life improvements to the existing constraint tool that utilizes the new dragger improvements. Enabling this beta feature will automatically enable the 'Dragger QoL Improvements' beta feature.,Quality of life improvements to the existing constraint tool that utilizes the new dragger improvements. Enabling this beta feature will automatically enable the 'Dragger QoL Improvements' beta feature.,,"Optimierungen für das bestehende Beschränkungstool, das die neuen Dragger-Verbesserungen nutzt. Wenn du diese Beta-Funktion aktivierst, wird automatisch auch die Beta-Funktion ""Dragger-QoL-Verbesserungen"" aktiviert.",,,"Peningkatan kualitas keseluruhan pada alat constraint saat ini yang memanfaatkan penyempurnaan penyeret baru. Dengan mengaktifkan fitur beta ini, fitur beta 'Penyempurnaan Penyeret QoL' akan otomatis aktif.","Miglioramenti della qualità della vita dello strumento di vincolo esistente che utilizza i miglioramenti del dragger. Abilitare questa funzione beta abiliterà anche la funzione beta ""Miglioramenti della qualità della vita del dragger"".",新しいドラッガーへの改善を利用する既存の拘束ツールへのQOL向上。このベータ機能を有効化すると「ドラッガーQOL向上」のベータ機能を自動有効化します。,기존 제약 도구의 편의성이 개선되어 새로운 드래거 개선 사항을 이용할 수 있습니다. 이 베타 기능을 활성화하면 '드래거 편의성 개선' 베타 기능이 자동으로 활성화됩니다.,"Usprawnienia w obsłudze istniejącego narzędzia do obsługi ograniczeń, w którym zastosowano nowe usprawnienia narzędzia do przeciągania. Włączenie tej funkcji w wersji beta powoduje automatyczne włączenie funkcji w wersji beta „Usprawnienia w obsłudze narzędzia do przeciągania”.",Melhorias de qualidade de vida da ferramenta de restrição existente que utiliza as novas melhorias de arraste. Ativar este recurso beta ativará permitirá o recurso beta 'Melhorias de QoL de arraste'.,,"การยกระดับคุณภาพชีวิตให้แก่เครื่องมือ Constraint ที่มีอยู่แล้วซึ่งจะใช้การปรับปรุงเครื่องมือลากใหม่ เปิดใช้งานคุณสมบัติเบต้านี้จะเปิดใช้งานคุณสมบัติ ""การปรับปรุง QoL ของเครื่องมือลาก"" เบต้าโดยอัตโนมัติ","Yeni sürükleme aracı iyileştirmelerini kullanan mevcut kısıtlama aracına yönelik geliştirmeler. Bu beta özelliğinin etkinleştirilmesi, ""Sürükleme Aracı Kalite İyileştirmeleri"" beta özelliğini otomatik olarak etkinleştirir.","Các cải tiến chất lượng cuộc sống cho công cụ ràng buộc hiện đang sử dụng các cải tiến công cụ kéo mới. Bật tính năng beta này cũng sẽ tự động bật tính năng beta ""Cải Thiện QoL Công Cụ Kéo"".",,,對現有限制式工具進行便利性改善，以利用新的拖曳器改善。啟用此 Beta 測試功能將會自動啟用「拖曳器便利性改善」的 Beta 測試功能。
Studio.BetaFeatures.FacialAnimationRecordingTitle,,,Face Capture,Face Capture,,Gesichtsaufnahme,,,Pengambilan Wajah,Cattura del volto,表情検知,얼굴 캡처,Przechwytywanie twarzy,Captura de rosto,,การจับภาพใบหน้า,Yüz Yakalama,Quay Chụp Khuôn Mặt,,,臉部擷取
